"25641","L. Allen (Lizzie Allen) Harker"
"25644","Ralph Browning Fiske"
"25643","George A. Romero"
"25645","H. Twitchell"
"36308","Silvanus P. (Silvanus Phillips) Thompson"
"37639","Charlotte Skinner"
"25640","Henry Abbey"
"36300","Arthur Winslow"
"37631","Henry Dwight Sedgwick"
"36301","Luis Senarens"
"37632","Alfred Hamilton Cruickshank"
"38962","John Grier Hibben"
"36302","Christine Chaundler"
"37633","Paschal Beverly Randolph"
"38965","George Barnett Smith"
"36303","Nan Netherton"
"37634","William Cornwallis Harris"
"37635","Rudolf von Gottschall"
"38967","William Robert Lee Smith"
"36306","Joe Cassells"
"37637","E. D. (Edward David) Ashe"
"38969","E. E. Nuuttila"
"36307","Henry C. (Henry Coddington) Meyer"
"37638","John Davidson"
"38968","George D. (George Damon) Fuller"
"38950","H. Noel (Hugh Noel) Williams"
"25655","Milton C. (Milton Cooper) Work"
"25654","Henry Jones"
"25656","H. R. (Henry Rosher) James"
"37628","Melvin E. (Melvin Earnest) Trotter"
"37629","B. H. (Brigham Henry) Roberts"
"38959","Jeffery E. (Jeffery Eardley) Jeffery"
"25650","J. Matthewman"
"37620","Arthur Alfonso Schomburg"
"37621","William Pickens"
"38951","Dalrymple J. Belgrave"
"37622","D. (Daniel) Spillan"
"38954","Linda Da Kowalewska"
"37623","Joseph Laing Waugh"
"38953","Józef Ignacy Kraszewski"
"37624","Cyrus R. Edmonds"
"37625","John Henry Freese"
"38958","Count de Soissons"
"37626","William Jackson Brodribb"
"37627","Henry Wright Kerr"
"47086","Edward S. Woods"
"47083","Robert Peel"
"35092","Felix Voorhies"
"35091","Alan Dugald McKillop"
"35090","Edgar R. (Edgar Rees) Jones"
"35099","Edward Bartrum"
"35098","Charles Barnard"
"35097","Winthrop Packard"
"35096","Marilyn Bailey Ogilvie"
"35095","Wolf von Schierbrand"
"35094","Fritz Oswald Bilse"
"35093","Robert Arnot"
"47071","Edward L. (Edward Leroy) Schaub"
"35080","Basil Wilson Duke"
"35089","G. A. Schad"
"35088","Richard F. Johnston"
"35084","Matthew Crawford"
"35083","Charles Alan Long"
"35082","Henry Thomas Purchas"
"3707","Livy"
"3708","Henry W. Hewet"
"35070","Clive Phillipps-Wolley"
"35078","Frederick Hiller"
"35077","H. Morse (Henry Morse) Stephens"
"35076","Earl Peirce"
"35075","William Edward Duellman"
"35074","Terry A. Vaughan"
"35071","William Meade Dame"
"3715","F. W. (Frederic William) Farrar"
"3717","Ferna Vale"
"3719","Angus Duncan Webster"
"3710","Edward Howard Griggs"
"3711","James Johnson"
"3713","Arthur Kitson"
"47050","Julie Opp Faversham"
"36395","James Riker"
"36396","G. A. (George Alexander) Chadwick"
"36398","R. L. (Richard Lynch) Garner"
"35067","Charles Heavysege"
"35066","Alan Bott"
"35065","Maive Stokes"
"35063","Mary Stokes"
"35062","Mike Lewis"
